# M/msolar   r[kpc]   logP
1.89697 1.95623 1.72497e-219
1.89525 1.91931 4.29334e-214
1.89183 1.97282 1.1655e-208
1.8929 1.98353 3.50681e-173
1.89431 2.06034 2.1375e-160
1.89119 2.0452 1.1309e-155
1.88534 2.0489 8.15874e-131
1.87729 2.07984 1.71298e-116
1.87679 1.99706 6.2115e-111
1.87718 2.03863 4.52968e-110
1.8795 2.03241 5.67938e-110
1.87614 2.05753 3.07723e-109
1.87499 2.07041 1.26034e-108
1.87262 1.98453 5.34041e-108
1.8707 2.01718 1.94169e-107
1.86968 2.06188 3.851e-107
1.86842 2.0229 6.41051e-107
1.86867 2.06443 3.74258e-107
1.86623 2.1003 1.82536e-106
1.86903 2.07971 3.44608e-107
1.86665 2.02603 5.59658e-108
1.86616 2.08771 1.68604e-107
1.86546 2.02299 1.97422e-106
1.8648 2.11121 1.74403e-105
1.86351 2.08309 7.30737e-105
1.8638 2.17054 3.87849e-105
1.85754 2.18932 3.35703e-103
1.85782 2.17214 3.57036e-103
1.85749 2.16387 5.4956e-103
1.85124 2.19491 2.00242e-101
1.8438 2.23072 2.0062e-101
1.85146 2.27281 1.62554e-101
1.85352 2.28986 7.25865e-102
1.85062 2.32516 2.01624e-101
1.84943 2.26282 3.62952e-101
1.85357 2.20713 2.0008e-102
1.85778 2.36101 5.05074e-103
1.85561 2.26241 4.9546e-103
1.85088 2.32346 3.13988e-101
1.84867 2.2574 1.58012e-101
1.84401 2.2329 5.87522e-100
1.84017 2.27485 1.87867e-100
1.8374 2.26465 2.16876e-98
1.83902 2.23363 6.7151e-98
1.83335 2.13377 1.53797e-97
1.83739 2.09178 5.20921e-98
1.83447 2.11972 7.86094e-98
1.82952 2.1829 1.95058e-96
1.83223 2.24185 4.6124e-96
1.83213 2.21237 4.19567e-96
1.8283 2.16246 6.77625e-96
1.82556 2.20653 3.56277e-96
1.821 2.2338 7.89029e-96
1.81879 2.33525 6.9139e-93
1.81728 2.39808 3.15037e-93
1.81615 2.41283 4.69557e-92
1.81071 2.42548 4.20289e-91
1.81013 2.41377 7.02074e-91
1.81112 2.43909 4.72455e-92
1.80998 2.39143 4.65802e-92
1.80957 2.37889 3.9962e-92
1.81005 2.33916 1.06392e-91
1.80704 2.40479 2.52014e-90
1.80383 2.51286 1.99564e-89
1.8052 2.46644 9.16297e-90
1.80693 2.49255 3.44494e-90
1.80712 2.5198 1.2619e-89
1.80716 2.51857 6.7307e-90
1.80197 2.4955 6.6953e-90
1.79863 2.47686 5.77785e-88
1.79829 2.48505 4.90876e-88
1.79344 2.53846 2.65694e-88
1.79518 2.51123 3.5609e-88
1.79161 2.5824 1.67374e-87
1.79351 2.55221 1.33483e-87
1.79408 2.51738 1.85959e-87
1.79465 2.46473 3.612e-87
1.79263 2.4226 8.80649e-87
1.78924 2.38346 3.72588e-86
1.78538 2.37676 4.35292e-85
1.78501 2.39502 1.99279e-85
1.78683 2.47468 1.46844e-85
1.78439 2.52212 2.65879e-85
1.78385 2.57145 5.54535e-85
1.78273 2.57949 6.20385e-85
1.77712 2.61439 1.83978e-83
1.77778 2.6823 9.7948e-84
1.7723 2.60522 1.15979e-83
1.76959 2.56722 1.26829e-84
1.77572 2.61245 5.01271e-84
1.77655 2.6934 7.49955e-84
1.7731 2.6958 2.08108e-83
1.76764 2.66907 1.12606e-81
1.7648 2.68621 9.96761e-82
1.76784 2.61661 9.22519e-82
1.76649 2.6546 4.25518e-82
1.77043 2.71274 3.96232e-82
1.76937 2.67386 5.48525e-82
1.76983 2.7306 6.33842e-82
1.76864 2.65727 3.58169e-82
1.76983 2.64989 5.36242e-82
1.7683 2.711 1.07503e-81
1.76338 2.66461 1.13426e-80
1.76198 2.75004 1.41773e-80
1.75925 2.72771 1.47743e-80
1.75998 2.86898 3.25514e-80
1.75943 2.81078 3.54213e-80
1.76216 2.8015 1.23185e-80
1.7595 2.81624 6.3586e-80
1.75826 2.84864 1.49259e-79
1.75426 2.94974 8.4283e-79
1.75258 2.99586 1.96663e-78
1.74978 3.06822 9.48081e-78
1.74866 3.11336 1.2181e-77
1.74738 3.04902 9.78595e-78
1.74564 3.02255 3.71512e-77
1.74522 3.02416 3.27763e-77
1.74059 3.05931 3.29396e-76
1.73768 3.11214 1.26384e-75
1.73866 3.15194 5.52878e-76
1.73763 3.05986 1.46335e-75
1.7321 2.97543 1.30318e-74
1.7312 2.9843 1.2833e-74
1.7317 2.98125 1.13694e-74
1.72945 2.95041 3.18673e-75
1.73165 3.0109 6.17089e-75
1.73228 2.93552 1.74674e-74
1.73315 2.84599 7.49116e-75
1.73146 2.80558 1.22141e-74
1.73198 2.87786 3.99761e-75
1.73127 2.89364 9.74866e-75
1.73037 2.87451 3.62919e-74
1.73065 2.83106 3.86386e-74
1.72669 2.88657 1.7412e-74
1.72754 2.89564 4.11463e-74
1.7303 2.92043 1.89002e-74
1.72885 2.99662 1.08391e-74
1.72371 3.01081 2.51795e-73
1.72413 2.95264 2.60169e-73
1.71927 2.94264 6.50242e-73
1.71638 2.91806 7.12332e-72
1.7141 2.92254 1.29267e-71
1.71264 2.94029 4.82041e-71
1.71377 2.99591 4.65195e-72
1.71319 2.94724 9.06357e-72
1.70997 2.97845 1.94281e-71
1.70452 2.97954 1.09164e-70
1.70791 2.99976 2.78544e-70
1.70315 2.99634 2.02565e-69
1.69737 2.95249 2.37586e-69
1.69995 3.00858 3.88584e-69
1.69679 3.04505 4.46224e-69
1.69743 3.09747 1.58802e-68
1.69621 3.00637 1.76444e-68
1.69619 3.02969 2.10304e-68
1.70123 3.07822 4.62911e-69
1.70178 3.12609 3.33296e-69
1.70107 3.11428 2.78429e-69
1.69667 3.01918 4.84883e-69
1.69388 3.00091 9.9143e-69
1.69992 3.01346 3.12179e-69
1.699 3.07562 6.2834e-69
1.69524 3.04724 2.08386e-68
1.69334 3.1233 1.96018e-68
1.69476 3.20107 2.86636e-68
1.69251 3.16977 2.89407e-68
1.6887 3.16062 6.61727e-68
1.68568 3.21599 8.20879e-67
1.68635 3.18088 5.46756e-67
1.68255 3.20499 4.99294e-67
1.67993 3.18161 1.36964e-67
1.67871 3.14009 2.78223e-67
1.67551 3.11469 3.23729e-67
1.67293 3.2062 3.07828e-67
1.6786 3.19017 5.4237e-67
1.67844 3.2301 3.28495e-66
1.6795 3.21168 2.91754e-66
1.6814 3.17902 2.94104e-66
1.68087 3.13854 1.30093e-66
1.6779 3.14889 2.51967e-66
1.67946 3.08905 1.54889e-66
1.67528 3.06814 1.52314e-65
1.67432 3.11354 1.60975e-65
1.67037 3.09537 3.97097e-65
1.67386 3.11618 2.54699e-65
1.67124 3.07766 6.1405e-65
1.67002 3.06373 3.7796e-65
1.6732 3.07108 1.54945e-65
1.66918 3.01789 4.1041e-65
1.67236 2.99701 4.56418e-65
1.67247 2.94365 2.46081e-65
1.67563 2.87243 1.00653e-65
1.67349 2.83158 1.96518e-65
1.67624 2.83273 1.19341e-65
1.6724 2.88973 1.27032e-65
1.67136 2.95269 4.58201e-65
1.6682 2.93489 5.56304e-65
1.66739 2.94033 5.93625e-65
1.66946 3.04999 8.08976e-65
1.66294 3.06484 7.81307e-64
1.66203 3.03113 1.59715e-63
1.65789 3.06222 6.38869e-63
1.6593 3.12743 1.70011e-63
1.66067 3.13305 1.16744e-63
1.6624 3.0458 1.32487e-63
1.65856 3.04266 3.81637e-63
1.65603 3.07268 8.45112e-63
1.65425 3.14261 1.25879e-62
1.65393 3.12805 1.19213e-62
1.65372 3.15082 1.82121e-62
1.65435 3.10386 1.19545e-62
1.6559 3.06335 7.46492e-63
1.65454 3.01275 4.22703e-63
1.65786 2.98526 3.78317e-63
1.6589 3.00626 2.55566e-63
1.65676 3.02986 2.83763e-63
1.65604 2.94887 4.73115e-63
1.65745 2.92139 3.62935e-63
1.65187 2.89865 2.35559e-62
1.65122 2.93281 1.61378e-62
1.65146 2.88087 3.75801e-63
1.65411 2.93033 1.77564e-62
1.65136 3.02236 2.74509e-62
1.64957 3.01485 5.38505e-62
1.64693 3.06085 4.05026e-62
1.65161 3.09315 2.49724e-62
1.64567 3.08702 2.37516e-62
1.64561 3.12723 1.53204e-61
1.64564 3.12069 1.48231e-61
1.6411 3.0867 5.3936e-61
1.63901 3.1037 1.07345e-60
1.63971 3.09731 8.57878e-61
1.64176 3.0144 5.23434e-61
1.64225 3.08034 5.19951e-61
1.63723 3.08994 5.11498e-61
1.63986 3.09899 1.17017e-60
1.63606 3.13771 1.88946e-60
1.6377 3.0642 8.12022e-61
1.63991 3.1212 8.12422e-61
1.6396 3.09008 9.84958e-61
1.63888 3.049 7.18614e-61
1.64011 3.0143 8.21535e-61
1.63899 2.98869 2.80891e-61
1.63976 2.95316 4.60847e-61
1.63993 2.94318 3.52682e-61
1.64091 2.91327 5.05802e-61
1.64299 2.89348 1.56333e-61
1.63781 2.83879 9.39322e-61
1.63782 2.84474 1.51318e-60
1.63749 2.77656 1.6823e-60
1.63494 2.80524 3.17581e-60
1.63396 2.84182 5.15694e-60
1.63461 2.78951 2.74059e-60
1.63352 2.7685 3.7922e-60
1.63632 2.82536 2.50916e-60
1.63687 2.82498 2.61731e-60
1.63418 2.77208 1.92886e-60
1.63832 2.79119 1.60726e-60
1.63353 2.78519 2.13602e-60
1.63018 2.77356 5.28275e-60
1.63204 2.73438 3.44092e-60
1.63044 2.80999 1.02113e-59
1.6317 2.88437 5.04364e-60
1.63385 2.95556 3.11392e-60
1.63316 2.9205 3.78046e-60
1.62975 2.86438 1.79864e-59
1.62767 2.74208 2.3636e-59
1.62794 2.63017 6.42875e-60
1.63319 2.65406 2.66508e-60
1.62966 2.68644 1.8409e-60
1.6277 2.61967 1.28069e-59
1.63018 2.6352 1.2672e-59
1.62545 2.70205 1.73261e-59
1.62482 2.65305 4.24957e-59
1.62483 2.70913 5.23638e-59
1.62239 2.76322 5.23434e-59
1.61635 2.75942 6.80446e-58
1.61624 2.7556 4.30184e-58
1.6141 2.6276 2.54382e-58
1.6101 2.67064 2.08148e-57
1.61173 2.67914 9.15507e-58
1.61126 2.70232 2.14643e-57
1.60962 2.63651 3.23943e-57
1.60743 2.69112 7.54836e-57
1.60517 2.80631 1.06673e-56
1.60352 2.79579 2.59392e-56
1.60349 2.72242 1.73953e-56
1.60131 2.91835 1.67167e-56
1.60197 2.88995 2.55593e-56
1.60293 2.92694 1.7904e-56
1.59754 2.95127 1.30914e-55
1.59557 2.94799 1.73966e-55
1.59989 2.95671 5.4263e-56
1.6031 2.89419 1.20451e-56
1.59865 2.96331 2.37315e-56
1.59417 2.90871 1.39895e-55
1.59704 2.82524 6.23194e-56
1.5978 2.83241 4.48402e-56
1.59862 2.81983 2.10226e-56
1.59697 2.84074 5.01633e-56
1.59695 2.83535 1.93954e-56
1.59818 2.87862 6.05995e-56
1.60278 2.82418 1.9465e-56
1.59757 2.79874 3.58311e-56
1.59631 2.8204 3.11704e-56
1.59307 2.87931 3.95322e-56
1.58984 2.92423 1.164e-55
1.58811 2.92718 3.04506e-55
1.58435 2.88002 4.38604e-55
1.58364 2.81015 6.70327e-55
1.58306 2.92896 1.08297e-54
